dealer_number,part_number,first_sale_date,first_sale_date_amount,second_sale_date,second_sale_date_amount,third_sale_date,third_sale_date_amount,fourth_sale_date,fourth_sale_date_amount,fifth_sale_date,fifth_sale_date_amount
111111,15902392,10/15/10,1,,,,,,,,
111111,12992647,10/15/10,4,,,,,,,,
111111,25932632,10/11/12,1,10/15/10,1,,,,,,
111111,9129999,6/1/15,1,3/4/15,2,2/19/14,2,1/26/12,2,12/7/11,2
111111,97233357,1/22/14,1,10/15/10,1,,,,,,
111111,19260210,4/1/15,1,10/31/14,1,,,,,,
111111,20837967,10/31/14,1,,,,,,,,
111111,20858138,10/31/14,1,,,,,,,,
111111,22518599,10/31/14,1,,,,,,,,
111111,22911402,4/1/15,1,11/18/14,1,10/31/14,1,,,,
111111,25965861,10/31/14,1,,,,,,,,
111111,20872383,10/31/14,1,,,,,,,,
111111,22935645,10/31/14,1,,,,,,,,
111111,55486342,11/1/16,1,10/21/16,1,9/29/16,2,9/20/16,1,9/16/16,1
111111,12385750,4/1/08,1,,,,,,,,
111111,15941850,6/11/15,1,3/30/15,1,2/18/15,1,6/11/14,1,5/9/14,1
111111,20106968,4/1/08,1,,,,,,,,
111111,9595175,9/14/16,4,8/9/16,4,6/15/16,1,10/19/15,5,7/7/15,5
111111,11609682,4/26/10,1,6/5/07,2,7/1/06,1,6/1/06,1,4/1/06,1
111111,15147631,5/1/07,1,4/5/07,1,3/28/07,1,,0,,0
111111,15855081,6/1/06,1,5/1/06,1,3/1/06,1,12/1/05,1,,0
111111,15923277,7/13/16,1,6/9/16,1,4/26/16,1,9/29/15,1,9/10/15,1
111111,17064622,4/1/08,1,,,,,,,,
111111,19120648,8/31/11,1,9/5/09,1,,,,,,
111111,19120821,,,,,,,,,,
111111,19152634,7/6/10,1,9/17/09,1,12/30/08,1,4/1/06,1,2/1/06,1
111111,19158041,2/16/10,8,1/21/10,8,9/16/09,8,12/9/08,8,12/1/05,8
111111,19168448,1/15/13,1,9/30/10,1,9/29/10,1,2/27/10,1,5/26/09,1
111111,19170851,4/21/11,1,3/15/10,1,6/1/07,1,3/1/06,1,,0
111111,19178924,11/4/16,1,9/1/16,1,5/8/15,1,1/10/12,1,3/9/11,1
111111,19178958,9/1/16,1,4/9/16,1,10/27/15,1,5/8/15,1,7/12/14,1
111111,21997408,10/5/16,1,9/7/16,1,4/12/11,1,9/15/09,1,5/1/07,1
111111,25821849,4/19/10,1,8/19/09,1,6/12/08,1,7/13/07,1,7/1/06,1
111111,88861353,10/4/16,2,4/30/12,1,2/9/12,1,3/16/09,1,2/18/09,1
111111,88861354,10/14/11,1,4/20/11,1,3/19/08,1,10/26/07,2,7/6/07,3
111111,89024933,1/23/10,1,8/1/06,1,,0,,0,,0
111111,5977563,,,,,,,,,,
111111,10365160,3/31/15,1,4/2/08,1,,,,,,
111111,12083689,5/14/12,2,2/28/12,1,4/2/08,1,,,,
111111,12583147,10/10/08,1,4/2/08,1,,,,,,
111111,15724146,4/2/08,1,,,,,,,,
111111,16525999,,,,,,,,,,
111111,25625197,,,,,,,,,,
111111,25638917,,,,,,,,,,
111111,25644983,,,,,,,,,,
111111,25657343,,,,,,,,,,
111111,25661157,,,,,,,,,,
111111,25669452,,,,,,,,,,
111111,25851407,1/14/10,1,,,,,,,,
111111,26021456,4/2/08,1,,,,,,,,
